Temperature at 900m,Freezing Level,Date,Area
11,Above the summits.,2019-09-24,SU
11,Above the summits.,2019-09-24,SU
9,Above the summits.,2019-09-25,SU
8,Above the summits.,2019-09-26,SU
8,Above the summits.,2019-09-27,SU
5,Above the summits.,2019-09-30,SU
2,Above the summits,2019-10-01,SU
5,Frost in some corries and valleys at dawn. Lifting above freezing at all levels.,2019-10-03,SU
7,Above the summits.,2019-10-04,SU
7,Above the summits.,2019-10-04,SU
7,Above the summits.,2019-10-04,SU
6,Above the summits.,2019-10-07,SU
0,Above the summits.,2019-10-09,SU
0,Above the summits.,2019-10-09,SU
0,Above the summits.,2019-10-10,SU
0,Above the summits.,2019-10-10,SU
0,Above the summits.,2019-10-10,SU
0,Above the summits.,2019-10-10,SU
0,Above the summits.,2019-10-10,SU
0,Above the summits.,2019-10-10,SU
0,Above the summits.,2019-10-10,SU
0,Above the summits.,2019-10-10,SU
0,Above the summits.,2019-10-10,-1
5,Above the summits.,2019-10-10,-1
0,Above the summits.,2019-10-10,SU
0,Above the summits.,2019-10-10,-1
5,Above the summits.,2019-10-10,-1
0,Above the summits.,2019-10-10,SU
0,Above the summits.,2019-10-10,-1
5,Above the summits.,2019-10-10,-1
0,Above the summits.,2019-10-10,SU
0,Above the summits.,2019-10-10,SU
0,Above the summits.,2019-10-11,SU
5,Above the summits.,2019-10-12,SU
0,Above the summits.,2019-10-10,SU
0,Above the summits.,2019-10-11,SU
5,Above the summits.,2019-10-12,SU
0,Above the summits.,2019-10-10,SU
0,Above the summits.,2019-10-10,SU
0,Above the summits.,2019-10-11,SU
5,Above the summits.,2019-10-12,SU
0,Above the summits.,2019-10-11,SU
5,Above the summits.,2019-10-12,SU
5,Above the summits.,2019-10-13,SU
5,Above the summits.,2019-10-14,SU
5,Above the summits.,2019-10-15,SU
5,Above the summits.,2019-10-16,SU
5,Above the summits.,2019-10-17,SU
5,Above the summits.,2019-10-17,SU
5,Above the summits.,2019-10-18,SU
4,Above the summits.,2019-10-19,SU
4,Above the summits.,2019-10-20,SU
1,700,2019-10-21,SU
-1,"Generally above freezing on hills, but some slopes close to zero early in day. Frost in valleys at dawn.",2019-10-22,SU
2,700,2019-10-24,SU
0,700,2019-10-25,SU
0,800,2019-10-26,SU
1,Close to freezing on highest summits. Frost some valleys at dawn.,2019-10-27,SU
1,800,2019-10-28,SU
0,Near or below freezing from valleys upward at dawn; lifting toward or just above freezing point up to highest summits.,2019-10-29,SU
0,Frost in valleys from dawn; lifting just above freezing up to higher tops.,2019-10-30,SU
2,"Above the summits, but frost in valleys at dawn.",2019-10-31,SU
7,Above the summits.,2019-11-01,SU
7,Above the summits.,2019-11-02,SU
7,Above the summits.,2019-11-03,SU
7,Above the summits.,2019-11-01,SU
7,Above the summits.,2019-11-02,SU
7,Above the summits.,2019-11-03,SU
7,Above the summits.,2019-11-01,SU
7,Above the summits.,2019-11-01,SU
3,Above the summits.,2019-11-02,SU
4,Above the summits.,2019-11-03,SU
3,Above the summits.,2019-11-04,SU
3,Above the summits.,2019-11-04,SU
2,Just above highest summits.,2019-11-05,SU
0,650,2019-11-06,SU
-4,800,2019-11-07,SU
-1,600,2019-11-07,SU,-1C.
-1,600,2019-11-08,SU,-1C.
-1,600,2019-11-09,SU,-1 or -2C; only slow drop in temperature with height.
-1,650,2019-11-10,SU,-1C
0,675,2019-11-11,SU,0C.
0,650,2019-11-12,SU,Between -1 and +1C.
-1,550,2019-11-13,SU,-1 or -2C.
-7,500,2019-11-14,SU,"-1C, but feeling closer to -14C in direct exposure to strongest winds."
-7,700,2019-11-15,SU,"Around 0C, but feeling closer to -14C higher slopes in direct exposure to strongest winds."
0,700,2019-11-16,SU,Around 0C
1,800,2019-11-17,SU,"Around 1C, but some lower slopes near freezing point after patchy frost inland valleys."
0,700,2019-11-18,SU,0C
0,750,2019-11-19,SU,0C
0,775,2019-11-20,SU,0 or 1C.
0,"Local variations; from dawn much terrain frozen from valleys upward. Partial thawing, and air temperature lifting just above freezing up to most higher slopes.",2019-11-21,SU,"Rising marginally from 0C or just below, to 1C afternoon up to dusk."
2,Above the summits.,2019-11-22,SU,2C.
3,Above the summits.,2019-11-23,SU,3C.
4,Above the summits.,2019-11-24,SU,4C.
4,Above the summits.,2019-11-25,SU,4 or 5C.
