Temperature at 900m,Freezing Level,Date,Area
9,Above the summits.,2019-09-24,WH
9,Above the summits.,2019-09-24,WH
9,Above the summits.,2019-09-25,WH
7,Above the summits.,2019-09-26,WH
6,Above the summits.,2019-09-27,WH
3,1200,2019-09-30,WH
3,1200,2019-09-30,WH
1,1000,2019-10-01,WH
3,"Starting close to freezing higher tops, also frost in some corries and glens. Lifting above freezing at all levels.",2019-10-03,WH
5,Above the summits.,2019-10-04,WH
5,Above the summits.,2019-10-04,WH
5,Above the summits.,2019-10-04,WH
7,Above the summits.,2019-10-07,WH
-1,-50,2019-10-09,WH
-1,1250,2019-10-09,WH
-1,1250,2019-10-10,WH
-1,1250,2019-10-10,WH
-1,1250,2019-10-10,WH
-1,1250,2019-10-10,WH
-1,1250,2019-10-10,WH
-1,1250,2019-10-10,WH
-1,1250,2019-10-10,WH
-1,1250,2019-10-10,WH
-1,Just above highest tops.,2019-10-10,-1
3,1300,2019-10-10,-1
-1,Just above highest tops.,2019-10-10,WH
-1,Just above highest tops.,2019-10-10,-1
3,1300,2019-10-10,-1
-1,Just above highest tops.,2019-10-10,WH
-1,Just above highest tops.,2019-10-10,-1
3,1300,2019-10-10,-1
-1,Just above highest tops.,2019-10-10,WH
-1,Just above highest tops.,2019-10-10,WH
-1,Just above highest tops.,2019-10-11,"WH,"
3,1300,2019-10-12,"WH,"
-1,Just above highest tops.,2019-10-10,WH
-1,Just above highest tops.,2019-10-11,"WH,"
3,1300,2019-10-12,"WH,"
-1,Just above highest tops.,2019-10-10,WH
-1,Just above highest tops.,2019-10-10,WH
-1,Just above highest tops.,2019-10-11,"WH,"
3,1300,2019-10-12,"WH,"
-1,Just above highest tops.,2019-10-11,WH
3,1300,2019-10-12,"WH,"
3,Just above the tops.,2019-10-13,"WH,"
3,1300,2019-10-14,WH
3,1300,2019-10-14,WH
4,"Lifting above all summits, but possible frost at dawn some inland glens and corries.",2019-10-15,WH
3,1250,2019-10-16,WH
3,1200,2019-10-17,WH
3,1200,2019-10-17,WH
3,1200,2019-10-18,WH
2,1150,2019-10-19,"WH,"
2,1100,2019-10-20,"WH,"
0,800,2019-10-21,WH
-1,"Generally above the summits, although some slopes close to freezing point early in day. Frost inland glens at dawn.",2019-10-22,WH
0,933,2019-10-24,WH
-2,700,2019-10-25,WH
-1,750,2019-10-26,WH
0,850,2019-10-27,WH
0,900,2019-10-28,WH
0,900,2019-10-29,WH
1,950,2019-10-30,WH
2,1150,2019-10-31,WH
6,Above the summits.,2019-11-01,WH
6,Above the summits.,2019-11-02,WH
6,Above the summits.,2019-11-03,WH
6,Above the summits.,2019-11-01,WH
6,Above the summits.,2019-11-02,WH
6,Above the summits.,2019-11-03,WH
6,Above the summits.,2019-11-01,WH
6,Above the summits.,2019-11-01,WH
2,1150,2019-11-02,WH
2,1200,2019-11-03,WH
3,1100,2019-11-04,WH
3,1100,2019-11-04,WH
0,900,2019-11-05,WH
-2,650,2019-11-06,WH
-8,700,2019-11-07,WH
-3,500,2019-11-07,WH,-3C
-3,500,2019-11-08,WH,-3C
-2,450,2019-11-09,WH,-1 to -3C
-1,650,2019-11-10,WH,-1C
-2,675,2019-11-11,WH,-2C.
0,850,2019-11-12,WH,0 or -1C.
-2,600,2019-11-13,WH,-1 to -3C.
-6,500,2019-11-14,WH,"-2 or -3C, but feeling closer to -14C in direct exposure to strongest winds."
-7,650,2019-11-15,WH,"-2C, but feeling closer to -12C at first in direct exposure to strongest winds."
-3,500,2019-11-16,WH,-3 or -4C
-2,650,2019-11-17,WH,"-2C; little change of temperature with height, locally staying close to freezing lower inland slopes. A degree or so higher near coast."
-3,600,2019-11-18,WH,-3C
2,925,2019-11-19,WH,2C. Colder lower slopes below an inversion.
1,800,2019-11-20,WH,"-1C, but perhaps 3C western areas, and on higher tops just above freezing point."
0,800,2019-11-21,WH,"0 or -1C, but locally up to 3C some coastal hills, also northern Lochaber."
1,933,2019-11-22,WH,"0 or 1C, but locally 3C west coast; rising a little through daylight."
2,Near or just above freezing point up to highest summits.,2019-11-23,WH,"1 to 3C, highest around the west coast."
3,1250,2019-11-24,WH,"2 to 4C, highest on west coastal mountains."
3,1300,2019-11-25,WH,"2 to 4C, highest west coastal hills and Loch Lomond NP."
3,Above the summits.,2019-11-26,WH,3 or 4C.
1,1000,2019-11-27,WH,3C; will then drop toward 0C from north into the night.
-5,866,2019-11-28,WH,"Around 0C, but dropping through day to -2C, particularly Lochaber. Feeling closer to -15C in direct exposure to strongest winds."
1,"Will lift generally above zero, but close to freezing locally from some glens up inland for several hours.",2019-12-02,WH,"0 to 2C, highest near west coast; only small change of temperature with height inland."
1,"Generally above zero up to high tops, but locally close to freezing point on some slopes where in cloud.",2019-12-03,WH,"1 or 2C, but several degrees warmer if above an inversion on higher slopes."
-2,1100,2019-12-04,WH,"2 or 3C, but may fall toward 0C before dusk. Feeling closer to -15C in direct exposure to the wind."
3,1200,2019-12-05,WH,2C rising to 5C.
-8,600,2019-12-09,WH,"-1 to -3C, feeling closer to -20C in direct exposure to winds around dawn; but wind chill soon easing."
1,966,2019-12-10,WH,"1 to 2C at first, lifting to 4C for a few hours, before abruptly lower to -2C later in afternoon."
-3,500,2019-12-11,WH,-3 or -4C.
-2,500,2019-12-12,WH,"-2 or -3C, may rise a degree or so, mainly coastal hills."
